CARD,NUMBER OF PREVIOUS YEARS,HERO MODE,SQUARE 1: TITLE,SQUARE 1: AUTHOR,SQUARE 1: HARD MODE,SQUARE 1: SUBSTITUTION,SQUARE 2: TITLE,SQUARE 2: AUTHOR,SQUARE 2: HARD MODE,SQUARE 2: SUBSTITUTION,SQUARE 3: TITLE,SQUARE 3: AUTHOR,SQUARE 3: HARD MODE,SQUARE 3: SUBSTITUTION,SQUARE 4: TITLE,SQUARE 4: AUTHOR,SQUARE 4: HARD MODE,SQUARE 4: SUBSTITUTION,SQUARE 5: TITLE,SQUARE 5: AUTHOR,SQUARE 5: HARD MODE,SQUARE 5: SUBSTITUTION,SQUARE 6: TITLE,SQUARE 6: AUTHOR,SQUARE 6: HARD MODE,SQUARE 6: SUBSTITUTION,SQUARE 7: TITLE,SQUARE 7: AUTHOR,SQUARE 7: HARD MODE,SQUARE 7: SUBSTITUTION,SQUARE 8: TITLE,SQUARE 8: AUTHOR,SQUARE 8: HARD MODE,SQUARE 8: SUBSTITUTION,SQUARE 9: TITLE,SQUARE 9: AUTHOR,SQUARE 9: HARD MODE,SQUARE 9: SUBSTITUTION,SQUARE 10: TITLE,SQUARE 10: AUTHOR,SQUARE 10: HARD MODE,SQUARE 10: SUBSTITUTION,SQUARE 11: TITLE,SQUARE 11: AUTHOR,SQUARE 11: HARD MODE,SQUARE 11: SUBSTITUTION,SQUARE 12: TITLE,SQUARE 12: AUTHOR,SQUARE 12: HARD MODE,SQUARE 12: SUBSTITUTION,SQUARE 13: TITLE,SQUARE 13: AUTHOR,SQUARE 13: HARD MODE,SQUARE 13: SUBSTITUTION,SQUARE 14: TITLE,SQUARE 14: AUTHOR,SQUARE 14: HARD MODE,SQUARE 14: SUBSTITUTION,SQUARE 15: TITLE,SQUARE 15: AUTHOR,SQUARE 15: HARD MODE,SQUARE 15: SUBSTITUTION,SQUARE 16: TITLE,SQUARE 16: AUTHOR,SQUARE 16: HARD MODE,SQUARE 16: SUBSTITUTION,SQUARE 17: TITLE,SQUARE 17: AUTHOR,SQUARE 17: HARD MODE,SQUARE 17: SUBSTITUTION,SQUARE 18: TITLE,SQUARE 18: AUTHOR,SQUARE 18: HARD MODE,SQUARE 18: SUBSTITUTION,SQUARE 19: TITLE,SQUARE 19: AUTHOR,SQUARE 19: HARD MODE,SQUARE 19: SUBSTITUTION,SQUARE 20: TITLE,SQUARE 20: AUTHOR,SQUARE 20: HARD MODE,SQUARE 20: SUBSTITUTION,SQUARE 21: TITLE,SQUARE 21: AUTHOR,SQUARE 21: HARD MODE,SQUARE 21: SUBSTITUTION,SQUARE 22: TITLE OF COLLECTION,SQUARE 22: AUTHOR OF COLLECTION,SQUARE 22: HARD MODE,SQUARE 22: SUBSTITUTION,SQUARE 22A: SHORT STORY 1,SQUARE 22A: AUTHOR 1,SQUARE 22B: SHORT STORY 2,SQUARE 22B: AUTHOR 2,SQUARE 22C: SHORT STORY 3,SQUARE 22C: AUTHOR 3,SQUARE 22D: SHORT STORY 4,SQUARE 22D: AUTHOR 4,SQUARE 22E: SHORT STORY 5,SQUARE 22E: AUTHOR 5,SQUARE 23: TITLE,SQUARE 23: AUTHOR,SQUARE 23: HARD MODE,SQUARE 23: SUBSTITUTION,SQUARE 24: TITLE,SQUARE 24: AUTHOR,SQUARE 24: HARD MODE,SQUARE 24: SUBSTITUTION,SQUARE 25: TITLE,SQUARE 25: AUTHOR,SQUARE 25: HARD MODE,SQUARE 25: SUBSTITUTION,FAVORITE SQUARE,UNFAVORITE SQUARE
76,2,NA,Dungeon Crawler Carl,Matt Dinniman,Yes,NA,The Tenacious Tale of Tanna the Tendersword,"Dewey Conway, Bill Adams",Yes,NA,System Collapse,Martha Wells,Yes,NA,Six of Crows,Leigh Bardugo,Yes,NA,The Spear Cuts Through Water,Simon Jiminez,NA,NA,The Dragon's Banker,Scott Warren,Yes,NA,Soul Music,Terry Pratchett,NA,NA,Orconomics,J. Zachary Pike,Yes,NA,The Knight,Will Wight,NA,NA,Paladin's Grace,T. Kingfisher,NA,NA,A Deadly Education,Naomi Novik,NA,NA,All These Worlds,Dennis E. Taylor,Yes,NA,The Teller of Small Fortunes,Julie Leong,Yes,NA,Starless,Jacqueline Carey,Yes,NA,The Master of Whitestorm,Janny Wurts,Yes,NA,Bookshops & Bonedust,Travis Baldree,Yes,NA,Some Desperate Glory,Emily Tesh,Yes,NA,The Deep,Rivers Solomon,NA,NA,A Canticle for Leibowitz,Walter M. Miller Jr.,Yes,NA,The Shadow of What Was Lost,James Islington,NA,NA,The Ocean at the End of the Lane,Neil Gaiman,Yes,NA,NA,NA,NA,NA,Small Teachers,Jeffrey Hall,Is Dumb,M.D. Presley,Final Word,Mike Shel,What Needs to Be Done,David Benem,Hardgrave,Phil Tucker,A Song for the Void,Andrew C. Piazza,Yes,NA,The Goblin Emperor,Katherine Addison,Yes,NA,Red Rising,Pierce Brown,NA,NA,21. Set in a Small Town,7. Bards
77,0,NA,The Thief,Megan Whalen Turner,Yes,NA,The Lies of Locke Lamora,Scott Lynch,Yes,NA,The Butcher's Masquerade,Matt Dinniman,Yes,NA,The Monsters We Defy,Leslye Penelope,Yes,NA,The Traitor Baru Cormorant,Seth Dickinson,Yes,NA,Dragonfruit,Makiia Lucier,Yes,NA,Song for the Basilisk,Patricia A. McKillip,Yes,NA,Legends & Lattes,Travis Baldree,Yes,NA,The Wings Upon Her Back,Samantha Mills,Yes,NA,A Market of Dreams and Destiny,Trip Galey,Yes,NA,Legendborn,Tracy Deonn,Yes,NA,Wind and Truth,Brandon Sanderson,Yes,NA,The Curse of Eelgrass Bog,Mary Averling,Yes,NA,Pod,Laline Paull,Yes,NA,Dealing with Dragons,Patricia C. Wrede,Yes,NA,Unnatural Magic,C.M. Waggoner,Yes,NA,A Memory Called Empire,Arkady Martine,Yes,NA,A Master of Djinn,P. Djèlí Clark,Yes,NA,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,Yes,NA,Floating Hotel,Grace Curtis,Yes,NA,We Ride Upon Sticks,Quan Barry,Yes,NA,The Paper Menagerie and Other Stories,Ken Liu,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Tainted Cup,Robert Jackson Bennett,Yes,NA,Mindtouch,M.C.A. Hogarth,Yes,NA,Nona the Ninth,Tamsyn Muir,Yes,Sequel 2023,20. Judge A Book By Its Cover,7. Bards
78,4,NA,Prince of the Godborn,Geraldine Harris,Yes,NA,The Ten Thousand Doors of January,Alix E. Harrow,NA,NA,"The Practice, the Horizon, and the Chain",Sofia Samatar,NA,NA,The Death of the Necromancer,Martha Wells,Yes,NA,The Other Valley,Scott Alexander Howard,NA,NA,Lady of Horses,Judith Tarr,NA,NA,The Harp of Kings,Juliet Marillier,Yes,NA,The Oracle's Queen,Lynn Flewelling,NA,NA,Kalyna the Soothsayer,Elijah Kinch Spector,Yes,NA,The Inadequate Heir,Danielle L. Jensen,NA,NA,Blood Over Bright Haven,M.L. Wang,NA,NA,The Ladies of Mandrigyn,Barbara Hambly,NA,NA,Baby X,Kira Peikoff,NA,NA,Deeplight,Frances Hardinge,NA,NA,Illusion,Paula Volsky,NA,NA,Empire of Exiles,Erin M. Evans,Yes,NA,The Pride of Chanur,C.J. Cherryh,Yes,NA,The Memory Police,Yoko Ogawa,NA,NA,Valor's Choice,Tanya Huff,Yes,NA,The River Has Roots,Amal El-Mohtar,Yes,NA,A House Like an Accordion,Audrey Burges,Yes,NA,NA,NA,NA,NA,Night at the Opera,Martha Wells,Riding the White Bull,Caitlin R. Kiernan,Escape From Spiderhead,George Saunders,All Saints' Mountain,Olga Tokarczuk,Where Oaken Hearts Do Gather,Sarah Pinsker,The West Passage,Jared Pechaček,Yes,NA,These Burning Stars,Bethany Jacobs,Yes,NA,Murder at Spindle Manor,Morgan Stang,Yes,NA,15. Published in the 1990s,20. Judge A Book By Its Cover
79,3,Yes,A Hidden Fire,Elizabeth Hunter,Yes,NA,Practical Potions and Premeditated Murder,Wren Jones,Yes,NA,Death’s Country,R.M. Romero,Yes,NA,The Mirror of beasts,Alexandra Bracken,Yes,NA,Poison City,Paul Crilley,Yes,NA,The Tomb of Dragons,Katherine Addison,Yes,NA,Til Death do us Bard,Rose Black,Yes,NA,What the Ladies Maid Knew,E.E. Holmes,Yes,NA,Wooing the Witch Queen,Stephanie Burgis,Yes,NA,Liar City,Allie Therin,Yes,NA,The Wicked Remain,Laura Pohl,Yes,NA,Archangel’s Lineage,Nalini Singh,Yes,NA,The Phoenix Keeper,S.A. Maclean,Yes,NA,Borderline,Mishell Baker,Yes,NA,The Element of Fire,Martha Wells,Yes,NA,The Goblin General,Autumn Dawn,Yes,NA,How to steal a galaxy,Beth Revis,Yes,NA,A Magical Girl Retires,Park Seolyeon,Yes,NA,The Hunger Games,Suzanne Collins,Yes,NA,And What Can we offer you tonight,Premee Mohamad,Yes,NA,My Orc Silver Fox,Veronika Kane,Yes,NA,The Proper Thing and other Stories,Seanan McGuire,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,But Not Too Bold,Hache Pueyo,Yes,NA,Song of the Six Realms,Judi I Lin,Yes,NA,Dionysis in Wisconsin,E.H. Lupton,Yes,NA,13. Published in 2024,15. Published in the 1990s
80,2,NA,The Color of Magic,Terry Pratchett,Yes,NA,Bookshops & Bonedust,Travis Baldree,NA,NA,Neverwhere,Neil Gaiman,Yes,NA,The Lies of Locke Lamora,Scott Lynch,Yes,NA,Assassin's Apprentice,Robin Hobb,NA,NA,The Lions of Al-Rassan,Guy Gavriel Kay,NA,NA,Bloody Rose,Nicholas Eames,Yes,NA,Soulsmith,Will Wright,Yes,NA,Son of a Liche,J. Zachary Pike,NA,NA,Fourth Wing,Rebecca Yarros,NA,NA,A Deadly Education,Naomi Novik,NA,NA,Deadhouse Landing,Ian C. Esselmont,Yes,NA,Wind and Truth,Brandon Sanderson,NA,NA,The Fifth Season,N.K. Jemisin,NA,NA,Endymion,Dan Simmons,NA,NA,The Daughters' War,Christopher Buehlman,NA,NA,Leviathan Wakes,James S.A. Corey,NA,NA,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,NA,NA,Sixteen Ways to Defend a Walled City,K.J. Parker,Yes,NA,Daughter of the Wolves,K.S. Villoso,NA,NA,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,Yes,NA,Jackalope Wives and Other Stories,"T. Kingfisher, Ursula Vernon",Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annihilation,Jeff VanderMeer,Yes,NA,Saint Death's Daughter,C.S.E. Cooney,NA,NA,Children of Time,Adrian Tchaikovsky,NA,NA,6. Entitled Animals,22. Five SFF Short Stories
81,3,Yes,A Wizard of Earthsea,Ursula K Leguin,Yes,NA,Dusk or Dark or Dawn or Day,Seanan McGuire,Yes,NA,The House of Hades,Rick Riordan,Yes,NA,Apprentice to the Villain,Hannah Nicole Maehrer,NA,NA,Sorcery and Small Magics,Maiga Doocy,NA,NA,The Girl With the Dragon Heart,Stephanie Burgis,NA,NA,War for the Oaks,Emma Bull,NA,NA,The Bloodless Princes,Charlotte Bond,NA,NA,NA,Courtship and Curses,NA,NA,The Trouble with Kings,Sherwood Smith,NA,NA,Rogue Community College,David R. Slayton,NA,NA,The Hall of the Mountain King,Judith Tarr,Yes,NA,Celestial Monsters,Aiden Thomas,NA,NA,The Maid and the Crocodile,Jordan Ifueko,Yes,NA,Bone Dance,Emma Bull,NA,NA,The Single Mom and the Orc,Honey Phllips,NA,NA,Full Speed to a Crash Landing,Beth Revis,Yes,NA,The CIty in Glass,Nghi Vo,NA,NA,We Called the Giants,Kieron Gillen,Yes,NA,Long Live Evil,Sarah Rees Brennan,NA,NA,Tea you at the Altar,Rebecca Thorne,NA,NA,NA,NA,NA,NA,Spellswept,Stephanie Burgis,The Wood at Midwinter,Susanna Clarke,Manticore Park,Quenby Olson,Centaur and Sensibility,Quenby Olson,Seducing the Jackal,Seressia Glass,Ring Shout,P. Djeli Clark,NA,NA,Silver in the Bone,Alexandra Bracken,Yes,NA,The Magic Fish,Trung Le Nguyen,NA,NA,5. Dreams,15. Published in the 1990s
82,5,NA,The Atrocity Archives,Charlie Stross,Yes,NA,The Haunting of Hill House,Shirley Jackson,Yes,NA,The Deep,Nick Cutter,Yes,NA,The Republic of Thieves,Scott Lynch,Yes,NA,Fourth Wing,Rebecca Yarros,Yes,NA,Kraken,China Mieville,Yes,NA,The Lark and the Wren,Mercedes Lackey,Yes,NA,Royal Assassin,Robin Hobb,Yes,NA,Ritualist,Dakota Krout,Yes,NA,Can't Spell Treason without Tea,Rebecca Thorne,Yes,NA,Legendborn,Tracy Deonn,Yes,NA,The Aeronaut's Windlass,Jim Butcher,Yes,NA,A Grim Reaper's Guide to Catching a Killer,Maxie Dara,Yes,NA,The Wisdom of Crowds,Joe Abercrombie,Yes,NA,The Green Mile,Stephen King,Yes,NA,Cleaver's Edge,Actus,Yes,NA,Exit Strategy,Martha Wells,Yes,NA,To SHape a Dragon's Breath,Moniquill Blackgoose,Yes,NA,Carl's Doomsday Scenario,Matt Dinniman,Yes,NA,Someone You Can Build a Nest In,John Wiswell,Yes,NA,Heart-Shaped Box,Joe Hill,Yes,NA,Christmas and Other Horrors,Ellen Datlow,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Bone Ships Wake,RJ Barker,Yes,NA,Lord of Chaos,Robert Jordan,Yes,NA,The Beast Player,Nahoko Uehashi,Yes,NA,"16. Orcs, Trolls, and Goblins — Oh My!",9. Self-Published or Indie Publisher
83,3,Yes,Sir Callie and the Champions of Helston,Esme Symes-Smith,Yes,NA,Goth Girl and the Ghost of a Mouse,Chris Riddell,Yes,NA,Anzu and the Realm of Darkness,Mai K. Nguyen,Yes,NA,Storm Dragons,Julie Kagawa,NA,NA,Tamora Pierce's Song of the Lioness: Alanna,"Vita Ayala, Sam Beck",NA,NA,The Dragon with the Chocolate Heart,Stephanie Burgis,Yes,NA,Where the Mountain Meets the Moon,Grace Lin,NA,NA,The House with Chicken Legs,Sophie Anderson,NA,NA,Summer in Orcus,T. Kingfisher,NA,NA,Rump: The True Story of Rumplestiltskin,Liesl Shurtliff,NA,Retellings 2023,Professor Gargoyle,CHarles Gilman,Yes,NA,North Child,Edith Pattou,Yes,NA,Amari and the Despicable Wonders,B. B. Alston,NA,NA,Accidental Demons,Clare Edge,Yes,NA,Odysseus Superhero,"Tony Robinson, Richard Curtis",NA,NA,The Princess and the Goblin,George McDonald,NA,NA,ZIta the Space Girl,Ben Hatke,NA,NA,WIngborn,"Marjorie Liu, Grace Kum",NA,NA,Wings of FIre: The Graphic Novel,"Tui T. Sutherland, Mike Holmes",Yes,NA,Fairy Tales Gone Bad: Zombierella,Joseph Coelho,Yes,NA,Wise Child,Monica Furlong,Yes,NA,The Fairy's Return,Gail Carson Levine,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Read at Your own Risk,Remy Lai,Yes,NA,The Girl Who Kept the Castle,Ryan Graudin,NA,NA,Archer's Goon,DIana Wynne Jones,NA,NA,24. Reference Materials,10. Romantasy
84,0,NA,Omens,Kelley Armstrong,Yes,NA,A Broken Blade,Melissa Blair,NA,NA,Court of Wanderers,Rin Chupeco,Yes,NA,Five Broken Blades,Mai Corland,Yes,NA,House of Frank,Kay Synclaire,Yes,NA,Between Dragons and Their Wrath,Devin Madson,Yes,NA,A Psalm for the Wild-Built,Becky Chambers,NA,Featuring Robots,Winter Lost,Patricia Briggs,Yes,NA,Bones to the Wind,Tatiana Obey,Yes,NA,When the Moon Hatched,Sarah A. Parker,NA,NA,Blood Over Brighthaven,M. L. Wang,NA,NA,Knife of Dreams,Robert Jordan,Yes,NA,The Wings Upon Her Back,Samantha Mills,Yes,NA,Godkiller,Hannah Kane,Yes,NA,Out From Boneville,Jeff Smith,NA,NA,The Goblin Emperor,Katherine Addison,Yes,NA,God Emperor of Dune,Frank Herbert,NA,NA,Delicious Monsters,Liselle Sambury,NA,NA,Valley,Stacey McEwan,Yes,NA,Heavenbreaker,Sarah Wolf,NA,NA,The Spellshop,Sarah Beth Durst,NA,NA,NA,NA,NA,NA,The Blue House,Dilman Dila,March Magic,W. C. Dunlap,IRL,Steven Barnes,Rear Mirror,Nuzo Onoh,Ghost Ship,Tananarive Due,Eversion,Alastair Reynolds,Yes,NA,Empire of the Damned,Jay Kristoff,Yes,NA,The Forgotten Beasts of Eld,Patricia A. McKillip,NA,NA,9. Self-Published or Indie Publisher,7. Bards
85,3,Yes,A Throne for Sisters,Morgan rice,Yes,NA,Clockwork City,Paul Crilley,NA,NA,I Never Liked You Anyway,Jordan Kurella,NA,NA,Strange Beasts,Susn J. Morris,NA,NA,The Familiar,Leigh Bardugo,NA,NA,Miss Percy's Definitive Guide to the Restoration of Dragons,Quenby Olson,Yes,NA,Wylding Hall,Elizabeth Hand,NA,NA,The Rebel Beneath the Stairs,E.E. Holmes,Yes,NA,Flyaway,Kathleen Jennings,Yes,NA,The Golem of Mala Lubovnya,Kim Fielding,Yes,NA,An Education in Malice,S.T. Gibson,Yes,NA,In the Shadow of the Fall,Tobi Ogundiran,Yes,NA,Psykhe,Kate Forsyth,NA,NA,A Waltz with the Bone King,Amanda Cessor,Yes,NA,Kingdom Come,Mark Waid,NA,NA,The Goblins of Bellwater,Molly Ringle,NA,NA,The Dragonfly Gambit,A.D. Sui,Yes,NA,The Dead Cat tail Assassins,P. Djeli Clark,NA,NA,Fourth Wing,Rebecca Yarros,Yes,NA,The Thirteenth Child,Erin A. Craig,NA,NA,The whispering Night,Susan Dennard,Yes,NA,Buried Deep and Other Stories,Naomi Novik,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In the Shadow of Spindrift House,Seanan McGuire,NA,NA,Small Miracles,Olivia Atwater,NA,NA,Carrie,Stephen King,NA,NA,20. Judge A Book By Its Cover,15. Published in the 1990s
86,3,Yes,The Pale Dreamer,Samantha Shannon,Yes,NA,The Grimrose Girls,Laura Pohl,NA,NA,The TOmbs of atuan,Ursula K. LeGuin,Yes,NA,A Tempest of Tea,Hafsah Faizal,Yes,NA,Raybearer,Jordan Ifueko,NA,NA,Junkyard Cats,Faith Hunter,NA,NA,Bard City Blues,Nathaniel Webb,Yes,NA,Hearts that Cut,Kika Hatzpoulou,NA,NA,Cursed Cocktails,S.L. Rowland,NA,NA,Daindreth's Assassin,Elisabeth Wheatley,NA,NA,Graveyard Shift,M.L. Rio,Yes,NA,What the RIver Knows,Isabel Ibanez,NA,NA,A Botanical Daughter,Noah Medlock,NA,NA,Adrift in Currents Clean and Clear,Seanan McGuire,Yes,NA,Owl in Love,Patrice Kindl,NA,NA,Goblin Market,Diane Zahler,NA,NA,The Spare man,Mary Robinette Kowal,Yes,NA,The teller of Small Fortunes,Julie Leong,Yes,NA,Sanctuary,Ilona andrews,Yes,NA,Emily Wilde's Compendium of Lost Tales,Heather Fawcett,NA,NA,Assistant to the Villain,Hannah Nicole Maehrer,NA,NA,The Crooked Stars,Jacquelynn Lyonn,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pet,Akwaeke Emezi,Yes,NA,Spellcracker's Honeymoon,Tansy Rayner Roberts,NA,NA,A Rival Most Vial,R.K. Ashwick,NA,NA,19. Survival,15. Published in the 1990s
87,2,NA,Rosemary and Rue,Seanan McGuire,Yes,NA,Bookshops and Bonedust,Travis Baldree,NA,NA,The Silo Saga Omnibus,Hugh Howey,Yes,NA,Starter Villain,John Scalzi,Yes,NA,Manhunt,Gretchen Felker-Martin,Yes,NA,Mammoths at the Gates,Nghi Vo,NA,NA,Maroons,adrienne marie brown,NA,NA,Iron Widow,Xiran Jay Zhao,Yes,NA,Unsouled,Will Wight,Yes,NA,Assistant to the Villain,Hannah Nicole Maehrer,NA,NA,Ninth House,Leigh Bardugo,Yes,NA,The Only Good Indians,Stephen Graham Jones,NA,NA,Annie Bot,Sierra Greer,Yes,NA,The Unbroken,C.L. Clark,Yes,NA,City of Bones,Martha Wells,Yes,NA,Dreadful,Caitlin Rozakis,NA,NA,The Mercy of Gods,James S.A. Corey,NA,NA,A Song Below Water,Bethany C. Morrow,Yes,NA,How to Become the Dark Lord and Die Trying,Django Wexler,Yes,NA,Finna,Nino Cipri,Yes,NA,The Change,Kirsten Miller,Yes,NA,AfroSFv3,Ivor W. Hartmann (editor),Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bury Your Gays,Chuck Tingle,Yes,NA,The Bear and the Nightingale,Katherine Arden,NA,NA,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,Yes,NA,11. Dark Academia,10. Romantasy
88,0,NA,The Will of the Many,James Islington,NA,NA,Ship of Smoke and Steel,Django Wexler,Yes,NA,The Starless Sea,Erin Morgenstern,Yes,NA,Jhereg,Steven Brust,Yes,NA,The Lathe of Heaven,Ursula K. Leguin,NA,NA,The Eyes of the Dragon,Stephen King,Yes,NA,The Bone Harp,Victoria Goddard,Yes,NA,The Trials of Empire,Richard Swan,Yes,NA,The Price of Power,Michael Michel,NA,NA,Paladin's Grace,T. Kingfisher,NA,NA,Ninth House,Leigh Bardugo,Yes,NA,The Hunger of the Gods,John Gwynne,Yes,NA,The Navigator's Children,Tad Williams,NA,NA,The Spear Cuts Through Water,Simon Jimenez,Yes,NA,City of Bones,Martha Wells,Yes,NA,The Daughter's War,Christopher Buehlman,NA,NA,"The Long Way to a Small, Angry Planet",Becky Chambers,Yes,NA,The Rage of Dragons,Evan Winter,NA,NA,Ogres,Adrian Tchaikovsky,Yes,NA,The Hexologists,Josiah Bancroft,NA,NA,Starling House,Alix E. Harrow,Yes,NA,Story of Your Life and Others,Ted Chiang,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ring Shout,P. Djeli Clark,NA,NA,The Curse of Chalion,Lois McMaster Bujold,Yes,NA,The Adventures of Amina Al-Sirafi,Shannon Chakraborty,NA,NA,2. Alliterative Title,5. Dreams
89,4,Yes,Green Rider,Kristen Britain,Yes,NA,Road to Ruin,Hana Lee,NA,NA,Before the Coffee Gets Cold,Toshikazu Kawaguchi,Yes,NA,Ghostdrift,Suzanne Palmer,NA,NA,Baptism of Fire,Andrzej Sapkowski,NA,NA,Brother Termite,Patricia Anthony,NA,NA,Blackheart Man,Nalo Hopkinson,NA,NA,Nemesis Games,James S.A. Corey,NA,NA,Derring-Do for Beginners,Victoria Goddard,NA,NA,The Invisible Life of Addie LaRue,V.E. Schwab,Yes,NA,Ninth House,Leigh Bardugo,Yes,NA,West,Edith Pattou,NA,NA,Annie Bot,Sierra Greer,Yes,NA,System Collapse,Martha Wells,Yes,NA,Daughter of the Forest,Juliet Marillier,Yes,NA,Some Desperate Glory,Emily Tesh,NA,NA,An Exchange of Hostages,Susan R. Matthews,Yes,NA,To Shape a Dragon's Breath,Moniquill Blackgoose,Yes,NA,Moon of the Turning Leaves,Waubgeshig Rice,Yes,NA,The Lighthouse Witches,C.J. Cooke,Yes,NA,Swordheart,T. Kingfisher,NA,NA,The Way Spring Arrives and Other Stories,"Yu Chen, Regina Kanyu Wang",Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norse Mythology,Neil Gaiman,Yes,NA,The Tainted Cup,Robert Jackson Bennett,Yes,NA,Children of Time,Adrian Tchaikovsky,NA,NA,24. Reference Materials,20. Judge A Book By Its Cover
90,1,Yes,Full Speed to a Crash Landing,Beth Revis,NA,NA,Ten Thousand Stitches,Olivia Atwater,NA,NA,A Letter to the Luminous Deep,Sylvie Cathrall,Yes,NA,Running Close to the Wind,Alexandra Rowland,NA,NA,The Witness for the Dead,Katherine Addison,NA,NA,The Phoenix Keeper,S. A. MacLean,Yes,NA,The Coward,Stephen Aryan,NA,NA,I'm Afraid You've Got Dragons,Peter S. Beagle,NA,NA,How to Get a Girlfriend (When You're a Terrifying Monster),Marie Cardno,NA,NA,The Undermining of Twyla and Frank,Megan Bannen,NA,NA,The Tainted Cup,Robert Jackson Bennett,NA,NA,Among Thieves,M. J. Kuhn,NA,NA,The Sky on Fire,Jenn Lyons,NA,NA,The Art of Destiny,Wesley Chu,NA,NA,The Vampire Diaries: The Awakening,L .J. Smith,NA,NA,The Blacktongue Thief,Christopher Buehlman,NA,NA,Winter's Orbit,Everina Maxwell,Yes,NA,The Dead Cat Tail Assassins,P. Djèlí Clark,NA,NA,Call of the Bone Ships,RJ Barker,Yes,NA,One Dark Window,Rachel Gillig,NA,NA,The Spellshop,Sarah Beth Durst,NA,NA,Jackalope Wives and Other Stories,T. Kingfisher,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Silver Under Nightfall,Rin Chupeco,Yes,NA,Frontier,Grace Curtis,NA,NA,Sunbringer,Hannah Kaner,NA,NA,6. Entitled Animals,11. Dark Academia
91,0,NA,Annihilation,Jeff VanderMeer,Yes,NA,The Lies of Locke Lamora,Scott Lynch,Yes,NA,Fathomfolk,Eliza Chan,Yes,NA,The Ghost of Marlow House,Bobbi Holmes,Yes,NA,The Lathe of Heaven,Ursula K. Le Guin,Yes,NA,The Last Dragonlord,Joanne Bertin,Yes,NA,A River Enchanted,Rebecca Ross,Yes,NA,Words of Radiance,Brandon Sanderson,Yes,NA,Always Carry Your Scythe,Pip Paisley,NA,NA,Radiance,Grace Draven,NA,NA,Ninth House,Leigh Bardugo,Yes,NA,Malice,John Gwynne,Yes,NA,Empire of the Damned,Jay Kristoff,NA,NA,Piranesi,Susanna Clarke,Yes,NA,Assassin's Apprentice,Robin Hobb,Yes,NA,Legends & Lattes,Travis Baldree,Yes,NA,Golden Son,Pierce Brown,NA,NA,The Sword of Kaigen,M.L. Wang,NA,NA,Project Hail Mary,Andy Weir,Yes,NA,A Witch's Sin,Daniel B. Greene,Yes,NA,Where He Can't Find You,Darcy Coates,Yes,NA,Sharp Ends,Joe Abercrombie,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Hollow Places,T. Kingfisher,Yes,NA,Of Blood and Fire,Ryan Cahill,Yes,NA,The One Kingdom,Sean Russell,NA,Bottom of the TBR 2023,11. Dark Academia,10. Romantasy
92,1,NA,Dungeon Crawler Carl,Matt Dinniman,Yes,NA,The Lies of Locke Lamora,Scott Lynch,Yes,NA,The Deep,Nick Cutter,Yes,NA,Six of Crows,Leigh Bardugo,Yes,NA,Wool,Hugh Howey,Yes,NA,Leviathan Wakes,James S. A. Corey,Yes,NA,The Lark and the Wren,Mercedes Lackey,Yes,NA,Masters of Death,Olivie Blake,Yes,NA,The Sign of the Dragon,Mary Soon Lee,Yes,NA,The Emperor and the Endless Palace,Justinian Huang,Yes,NA,Ink Blood Sister Scribe,Emma Törzs,Yes,NA,Spinning Silver,Naomi Novik,Yes,NA,The Wings Upon Her Back,Samantha Mills,Yes,NA,Godkiller,Hannah Kanner,Yes,NA,Sabriel,Garth Nix,Yes,NA,Bookshops and Bonedust,Travis Baldree,Yes,NA,Space Opera,Catherynne M. Valente,Yes,NA,The Stardust Thief,Chelsea Abdullah,Yes,NA,She Who Became the Sun,Shelly Parker-Chan,Yes,NA,The Fifth Season,N. K. Jemisin,Yes,NA,Slewfoot,Brom,Yes,NA,Her Body and Other Parties,Carmen Maria Machado,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Hollow Places,T. Kingfisher,Yes,NA,The Raven Tower,Ann Leckie,Yes,NA,The Adventures of Amina Al-Sirafi,Shannon Chakraborty,Yes,NA,2. Alliterative Title,5. Dreams
